ORG_EIN,ORG_NAME,STREET,CITY,STATE,ZIP,NTEE_CD,SORT_NAME
132894978,MEALS ON WHEELS OF STATEN ISLAND INC,304 PORT RICHMOND AVE,STATEN ISLAND,NY,10302-1700,K36Z,NA
132988167,MEALS-ON-WHEELS OF WHITE PLAINS INC,311 NORTH STREET SUITE G5,WHITE PLAINS,NY,10605-2231,K36Z,NA
133170676,CITY HARVEST INC,150 52ND ST,BROOKLYN,NY,11232-4317,K30Z,NA
133179546,FOOD BANK FOR NEW YORK CITY,39 BROADWAY,NEW YORK,NY,10006-3003,S50,NA
133186919,MEALS-ON-WHEELS OF NEW ROCHELLE INC,50 PINTARD AVE,NEW ROCHELLE,NY,10801-7148,K36Z,NA
133366846,GODS LOVE WE DELIVER INC,166 AVENUE OF THE AMERICAS,NEW YORK,NY,10013-1207,K36Z,NA
133475062,SHARE OF NEW SQUARE INC,286 N MAIN ST,SPRING VALLEY,NY,10977-3704,K36,CHESED 24 7
133635059,FOOD FIRST INCORPORATED,1469 BEDFORD AVENUE,BROOKLYN,NY,11216-8825,P20Z,NA
133640786,INTERFAITH EMERGENCY FOOD PANTRY INC,174 MARBLE AVE,PLEASANTVILLE,NY,10570-3424,P60Z,NA
133694712,TOMCHE SHABBOS OF ROCKLAND COUNTY,335 SPOOK ROCK RD,SUFFERN,NY,10901-5319,K300,ROCKLAND CHESED NETWORK
133729133,TAKE THE LEAD INC,PO BOX 148,CLAYTON,NY,13624-0148,K30Z,NA
133762751,CONGREGATION ABU SHOLEM SHABAZI INC,1 ELLISH PKWY,SPRING VALLEY,NY,10977-3813,K12,ABU SHOLEM SHABAZI
133855478,WORLD COUNCIL OF PEOPLES FOR THE UNITED NATIONS,301 E 47TH ST APT 11A,NEW YORK,NY,10017-2317,K20,NA
133870203,HEALTHY LIVING SYSTEMS INC,900 GRAND CONCOURSE,BRONX,NY,10451-2746,K30,NA
